Index;Altitude;Certification;Code postal;Consommation;Année Construction;kgCO2;Coût des travaux;€/m²;kgCO2/€;Département;Emission CO2;Emission CO3;Fiabilité;Livraison;Niv. énergetique;Permis;Respect Effinergie+;Respect RT2012;SDP;SRT;Shon;Shon RT;Surface;Surface reglementaire;Travaux;Type bâtiment;Usage principal;Ville;Zone climatique;_graph-conso-globale_5 usages réglementaires;_graph-conso-globale_Autres Usages;_graph-conso-globale_Mobilité / Déplacements;_graph-pie-contrib_Chantier;_graph-pie-contrib_Eau;_graph-pie-contrib_Energie;_graph-pie-contrib_Produits de Constructions et Equipements;E,GES;_graph-pie-decomp-composant_Appareils élévateurs;_graph-pie-decomp-composant_Chauffage, ventilation, ECS, froid;_graph-pie-decomp-composant_Cloisonnement, Doublage, Menuiseries intérieures;_graph-pie-decomp-composant_Couverture,Charpente, Étanchéité;_graph-pie-decomp-composant_Equipements de production d’énergie;_graph-pie-decomp-composant_Façades et menuiseries extérieures;_graph-pie-decomp-composant_Fluides frigorigènes;_graph-pie-decomp-composant_Fondations et infrastructures;_graph-pie-decomp-composant_Maçonnerie, Superstructure;_graph-pie-decomp-composant_Revêtements sol mur et plafonds, chapes, décoration;_graph-pie-decomp-composant_Réseaux de communication;_graph-pie-decomp-composant_Réseaux d’énergie;_graph-pie-decomp-composant_Sanitaire;_graph-pie-decomp-composant_VRD;Colonne2;_graph-pie-eges_obs_Chauffage;_graph-pie-eges_obs_ECS;_graph-pie-eges_obs_Eclairage;_graph-pie-eges_obs_Refroidissement;_graph-pie-eges_obs_VMC & Auxiliaires;_graph-pie-perf_obs_Auxiliaires;_graph-pie-perf_obs_Chauffage;_graph-pie-perf_obs_ECS;_graph-pie-perf_obs_Eclairage;_graph-pie-perf_obs_Refroidissement;_graph-pie-perf_obs_VMC;Colonne1;_graph-pie-phase_Construction;_graph-pie-phase_Fin de vie;_graph-pie-phase_Production;_graph-pie-phase_Utilisation;_graph-pie-repart_deperd2_Autres planchers hauts et toitures (A2);_graph-pie-repart_deperd2_Liaisons plancher bas avec mur (L8);_graph-pie-repart_deperd2_Liaisons plancher haut A3 avec mur (L10);_graph-pie-repart_deperd2_Liaisons plancher intermédiaire avec mur (L9);_graph-pie-repart_deperd2_Parois verticales opaques (A1);_graph-pie-repart_deperd2_Parois vitrées non résidentiel (A6);_graph-pie-repart_deperd2_Parois vitrées résidentiel (A7);_graph-pie-repart_deperd2_Planchers bas (A4);_graph-pie-repart_deperd2_Planchers hauts en béton ou en maçonnerie (A3);_graph-pie-repart_deperd2_Portes (A5);Colonne3;_graph_donne_eco_Autres;_graph_donne_eco_Chauffage - VMC - Plomberie;_graph_donne_eco_Chauffage, ECS, Ventilation;_graph_donne_eco_Clos Couvert;kgCO2/€ Clos couvert;_graph_donne_eco_ENR;_graph_donne_eco_Electricité;_graph_donne_eco_Electricité - PV;_graph_donne_eco_Gros Oeuvre - Structure - Bardage;kgCO2/€ gros œuvre structure bardage;_graph_donne_eco_Second Œuvre3;kgCO2/€ second œuvre;_graph_donne_eco_Système CVC - Electricité;_index_num;_repart_deperd_Baies en hiver;_repart_deperd_Murs;_repart_deperd_Plancher bas;_repart_deperd_Ponts thermiques;_repart_deperd_Toitures;url
1978;226;;01000;49.74;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;462;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.28;26.55;14.48;7.21;;3.43;;;;;;;5.89;53.41;21.19;65.86;;94.76;29.32;17.03;18.89;0;;;;;;;;;;;0;;;1978;;;;;;https://www.observatoirebbc.org/projets/neuf/1978
1979;226;;01000;54.38;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;238;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.29;33.19;13.68;6.31;;3.8;;;;;;;4.34;36.56;14.6;51.96;;54.7;14.67;7.97;9.44;0;;;;;;;;;;;0;;;1979;;;;;;https://www.observatoirebbc.org/projets/neuf/1979
1980;226;;01000;57.6;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;265;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;3.11;35.04;13.12;6.36;;5.11;;;;;;;4.84;43.44;13.54;54.97;;61.41;17.23;10.1;9.44;0;;;;;;;;;;;0;;;1980;;;;;;https://www.observatoirebbc.org/projets/neuf/1980
7027;230;;01000;48.12;1932;0;1201520;620.619834710744;0;;20;1000;Appel à projets;06-2016;BBC-Effinergie Rénovation;;;;;;1936;;1936;;Rénovation - RT ex;Tertiaire - Public;Établissement Enseignement zone d'hébergement;Bourg-en-Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;6.48;0.1;0.44;;0.01;0.29;26.03;4.01;17.77;;;;;;;;153;324;367;14;284;671;20;520;;;0;;;;;;;;;;;0;;;7027;;;;;;https://www.observatoirebbc.org/projets/neuf/7027
7029;230;;01000;37.5;1906;0;1466794;352.849170074573;0;;;0;Appel à projets;05-2016;BBC-Effinergie Rénovation;;;;;;4157;;4157;;Rénovation - RT ex;Tertiaire - Public;Établissement Enseignement zone d'enseignement;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;0.53;0.13;0.44;;0.03;0.11;13.37;5.21;17.71;;1.08;;;;;;28;142;333;24;707;901;;554;256;;0;;;;;;;;;;;414850;0;372628;7029;;;;;;https://www.observatoirebbc.org/projets/neuf/7029
7030;230;;01000;53.21;1900;0;506688;;;;24;1200;Appel à projets;05-2016;BBC-Effinergie Rénovation;;;;;;1602;;;;Rénovation - RT ex;Tertiaire - Public;Établissement Enseignement zone d'enseignement;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;8.79;0.13;0.28;;0.04;0.24;35.29;5.25;11.2;;1.23;;;;;;18;54;23;;269;437;;289;23;;0;;;;;;;;;;;50668;0;244900;7030;;;;;;https://www.observatoirebbc.org/projets/neuf/7030
10655;240;01-2021;01000;56.19;1970;0;;0;;;1;50;Certifié;;BBC-Effinergie Rénovation;;;;;;;1030;12728;;Rénovation - RT ex;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;1.23;0.66;0.18;;0.14;1.77;30.64;16.39;6.55;;3.8;;;;;;;44.81;42.65;9.72;426.16;;129.95;140.33;43.85;22.52;0;;;;;;;;;;;0;;;10655;;;;;;https://www.observatoirebbc.org/projets/neuf/10655
1705;310;;01000;65.56;;0;;0;;;;0;Appel à projets;09-2009;BBC-Effinergie;2008-06-01;;;;;566;;566;;Neuf - RT 2005;Tertiaire - Privé;Immeuble Bureaux;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0.99;37.62;;30.96;;13.75;;;;;;27.87;20.59;;10.36;85.85;162.08;;39.02;;21.56;0;;;;;;;;;;;0;;;1705;;;;;;https://www.observatoirebbc.org/projets/renovation/1705
1971;226;;01000;50.95;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;309;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.74;29.25;12.15;6.38;;4.39;;;;;;;5.18;32.38;20.64;63.36;;66.42;18.13;9.56;9.44;0;;;;;;;;;;;0;;;1971;;;;;;https://www.observatoirebbc.org/projets/renovation/1971
1972;226;;01000;50.31;;0;;0;;;;0;Certifié;;BBC-Effinergie;;;;;;311;;4496;;Neuf - RT 2005;Logements collectifs - Public;Habitation Logement collectif;Bourg en Bresse;H1c;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.73;28.93;12.15;6.43;;4.36;;;;;;;8.89;31.74;20.32;61.67;;66.42;17.32;9.67;9.44;0;;;;;;;;;;;0;;;1972;;;;;;https://www.observatoirebbc.org/projets/renovation/1972
